plant	treatment	period	MTE 	M.abund	Obs.T	T.exc.
VE06MS	sucrose	nighttime	30	5	10	0
VE06MS	sucrose	nighttime	11	4	25	0
VE07MS	sucrose	daytime	30	18	25	0
VE07MS	sucrose	daytime	30	18	25	0
VE07MS	sucrose	daytime	1	21	5	1
VE07MS	sucrose	daytime	1	29	5	1
VE07MS	sucrose	nighttime	1	0	10	1
VE07MS	sucrose	nighttime	1	0	10	1
VE07MS	sucrose	nighttime	30	2	10	0
VE07MS	sucrose	nighttime	1	3	10	0
VE08MS	sucrose	daytime	30	1	15	0
VE08MS	sucrose	daytime	30	2	10	0
VE08MS	sucrose	daytime	1	2	5	1
VE08MS	sucrose	daytime	30	2	10	0
VE08MS	sucrose	nighttime	30	0	15	0
VE08MS	sucrose	nighttime	30	0	15	0
VE08MS	sucrose	nighttime	30	0	10	0
VE08MS	sucrose	nighttime	30	0	10	0
VE09MS	sucrose	daytime	30	0	30	0
VE09MS	sucrose	daytime	30	0	15	0
VE09MS	sucrose	daytime	30	5	15	0
VE09MS	sucrose	daytime	30	4	15	0
VE09MS	sucrose	nighttime	30	0	15	0
VE09MS	sucrose	nighttime	30	0	15	0
VE09MS	sucrose	nighttime	6	4	20	0
VE09MS	sucrose	nighttime	26	4	30	0
VE10MS	sucrose	daytime	30	1	15	0
VE10MS	sucrose	daytime	1	4	15	0
VE10MS	sucrose	daytime	6	2	10	1
VE10MS	sucrose	daytime	30	1	10	0
VE10MS	sucrose	nighttime	6	10	15	0
VE10MS	sucrose	nighttime	1	12	5	1
VE10MS	sucrose	nighttime	1	10	10	1
VE10MS	sucrose	nighttime	6	10	15	0
VE01MSA	sucrose_amino	daytime	1	3	20	0
VE01MSA	sucrose_amino	daytime	1	4	20	1
VE01MSA	sucrose_amino	daytime	1	10	5	1
VE01MSA	sucrose_amino	daytime	30	10	15	0
VE01MSA	sucrose_amino	nighttime	11	5	20	1
VE01MSA	sucrose_amino	nighttime	16	5	25	0
VE01MSA	sucrose_amino	nighttime	1	21	10	1
VE01MSA	sucrose_amino	nighttime	30	22	10	0
VE02MSA	sucrose_amino	daytime	11	5	15	1
VE02MSA	sucrose_amino	daytime	1	4	20	0
VE02MSA	sucrose_amino	daytime	6	5	10	0
VE02MSA	sucrose_amino	daytime	11	5	20	0
VE02MSA	sucrose_amino	nighttime	1	3	5	1
VE02MSA	sucrose_amino	nighttime	1	5	5	1
VE02MSA	sucrose_amino	nighttime	6	8	15	1
VE02MSA	sucrose_amino	nighttime	30	8	15	0
VE03MSA	sucrose_amino	daytime	30	3	10	0
VE03MSA	sucrose_amino	daytime	30	2	10	0
VE03MSA	sucrose_amino	daytime	30	2	10	0
VE03MSA	sucrose_amino	daytime	6	2	10	0
VE03MSA	sucrose_amino	nighttime	30	15	5	0
VE03MSA	sucrose_amino	nighttime	11	12	20	0
VE03MSA	sucrose_amino	nighttime	30	4	15	0
VE03MSA	sucrose_amino	nighttime	30	5	10	0
VE04MSA	sucrose_amino	daytime	1	9	5	1
VE04MSA	sucrose_amino	daytime	6	9	10	1
VE04MSA	sucrose_amino	daytime	11	3	15	1
VE04MSA	sucrose_amino	daytime	6	2	10	1
VE04MSA	sucrose_amino	nighttime	1	18	5	1
VE04MSA	sucrose_amino	nighttime	1	20	5	1
VE04MSA	sucrose_amino	nighttime	1	9	20	0
VE04MSA	sucrose_amino	nighttime	1	12	15	0
