plant	treatment	period	Obs.T	T.exc.
VE05MW	water	nighttime	10	0
VE05MW	water	nighttime	25	0
VE05MW	water	nighttime	15	0
VE05MW	water	nighttime	10	0
VE06MW	water	daytime	10	0
VE06MW	water	daytime	25	0
VE06MW	water	daytime	15	0
VE06MW	water	daytime	10	0
VE06MW	water	nighttime	30	0
VE06MW	water	nighttime	25	0
VE06MW	water	nighttime	20	0
VE06MW	water	nighttime	10	0
VE07MW	water	daytime	25	0
VE07MW	water	daytime	20	0
VE07MW	water	daytime	20	0
VE07MW	water	daytime	15	0
VE07MW	water	nighttime	10	0
VE07MW	water	nighttime	15	0
VE07MW	water	nighttime	20	0
VE07MW	water	nighttime	15	0
VE08MW	water	daytime	10	0
VE08MW	water	daytime	10	0
VE08MW	water	daytime	5	0
VE08MW	water	daytime	10	0
VE08MW	water	nighttime	15	0
VE08MW	water	nighttime	15	0
VE08MW	water	nighttime	15	0
VE08MW	water	nighttime	15	0
VE09MW	water	daytime	5	1
VE09MW	water	daytime	20	0
VE09MW	water	daytime	10	0
VE09MW	water	daytime	10	0
VE09MW	water	nighttime	10	0
VE09MW	water	nighttime	25	0
VE09MW	water	nighttime	15	0
VE09MW	water	nighttime	20	0
VE10MW	water	daytime	20	0
VE10MW	water	daytime	15	0
VE10MW	water	daytime	15	0
VE10MW	water	daytime	15	0
VE10MW	water	nighttime	15	1
VE10MW	water	nighttime	10	0
VE10MW	water	nighttime	15	0
VE10MW	water	nighttime	15	0
